iter	Logloss
250	0.5727603424
251	0.5721711565
252	0.571803515
253	0.5713318827
254	0.5707836928
255	0.5703485184
256	0.569843014
257	0.5695280548
258	0.5690336969
259	0.5683306994
260	0.5678362153
261	0.5674915902
262	0.566817661
263	0.5665834401
264	0.5662847747
265	0.5657824808
266	0.5654257251
267	0.564809819
268	0.5643930115
269	0.5641096805
270	0.5637940466
271	0.5634437065
272	0.5631003053
273	0.5628537233
274	0.5623764054
275	0.5617845941
276	0.5612911791
277	0.5611069818
278	0.5607665114
279	0.560593272
280	0.5600015918
281	0.5595854319
282	0.5590548209
283	0.5585583824
284	0.5580365396
285	0.5577720316
286	0.55754777
287	0.5571764128
288	0.5567458153
289	0.556400082
290	0.5560428401
291	0.5556180601
292	0.5551164187
293	0.5544997343
294	0.553869721
295	0.5536191846
296	0.553334211
297	0.552857794
298	0.5524345282
299	0.5521644711
300	0.55185366
301	0.551197345
302	0.5506476503
303	0.5501425983
304	0.5496707532
305	0.5491742472
306	0.5488720846
307	0.5485449205
308	0.5482640503
309	0.5479789824
310	0.5476269379
311	0.5473281499
312	0.5468246296
313	0.5464830012
314	0.5463267702
315	0.5458280342
316	0.5455450845
317	0.5451431071
318	0.5450466761
319	0.5447662321
320	0.5443816784
321	0.5440611496
322	0.5438736432
323	0.5433769546
324	0.5428932245
325	0.5425535075
326	0.5421303499
327	0.5416683425
328	0.5413123381
329	0.5410051974
330	0.5404859373
331	0.5400700531
332	0.5397953415
333	0.5394382913
334	0.5389273411
335	0.5385025324
336	0.538239358
337	0.5377845985
338	0.5376489085
339	0.5373532982
340	0.5370510067
341	0.5368564449
342	0.5366004807
343	0.536093597
344	0.5356131298
345	0.5351859633
346	0.5347090819
347	0.5343586345
348	0.5340633087
349	0.5335835655
350	0.5333052517
351	0.5330720015
352	0.5327801474
353	0.5325228357
354	0.5322467164
355	0.5318305057
356	0.5314969383
357	0.5310604388
358	0.5308988143
359	0.5305890822
360	0.5304534718
361	0.5300770633
362	0.5296660306
363	0.5292194566
364	0.5287949074
365	0.5285427865
366	0.5282591622
367	0.5277430113
368	0.5271638198
369	0.5268003069
370	0.5264649692
371	0.5258688049
372	0.5255058133
373	0.5253707907
374	0.5248615373
375	0.5242385936
376	0.5240161924
377	0.5238548702
378	0.523173045
379	0.5229190051
380	0.5226699367
381	0.5222984862
382	0.5219811728
383	0.521670592
384	0.5212641952
385	0.5209344879
386	0.5206243285
387	0.5203652135
388	0.5201188099
389	0.5198623635
390	0.5195152847
391	0.5189856946
392	0.5186987638
393	0.5182399141
394	0.5177753754
395	0.5174441527
396	0.5170588675
397	0.5166984884
398	0.5164223818
399	0.5159553621
400	0.5155358527
401	0.5151896822
402	0.514727541
403	0.5144308349
404	0.5142018716
405	0.513823538
406	0.5135327166
407	0.5132068705
408	0.5129761608
409	0.5126841368
410	0.5125073924
411	0.5123070469
412	0.5118401574
413	0.511463639
414	0.511135895
415	0.5108406744
416	0.5105985355
417	0.510207034
418	0.5099475377
419	0.5096218476
420	0.509225445
421	0.5089982701
422	0.5087455043
423	0.5085743666
424	0.5083702931
425	0.5080592882
426	0.5078247372
427	0.5076033387
428	0.5074575274
429	0.5072529782
430	0.5071590453
431	0.506894228
432	0.5065947502
433	0.5063271061
434	0.5062115087
435	0.5058638988
436	0.5056907549
437	0.5054826121
438	0.5052140439
439	0.5050514185
440	0.5046401528
441	0.5043834963
442	0.5040646061
443	0.5037163074
444	0.5034474604
445	0.5030966078
446	0.5029407701
447	0.5026069492
448	0.5023782796
449	0.5018243925
450	0.501430267
451	0.5011486236
452	0.5008358589
453	0.5006054188
454	0.5003431572
455	0.4999434178
456	0.4995816139
457	0.4992786511
458	0.4989082231
459	0.4986481088
460	0.4985748578
461	0.4980911128
462	0.4974285796
463	0.4970541809
464	0.4966980201
465	0.4965480115
466	0.4961321467
467	0.4957829352
468	0.4953388358
469	0.4952218982
470	0.4948479995
471	0.4945648193
472	0.4941383378
473	0.4938729481
474	0.4936591002
475	0.4932762442
476	0.4928152308
477	0.4925971208
478	0.4922716816
479	0.4920291138
480	0.4917697287
481	0.4914647796
482	0.4911248236
483	0.490712481
484	0.4904198595
485	0.4901846846
486	0.4899231068
487	0.4895185798
488	0.4892137661
489	0.4888900558
490	0.4885580294
491	0.4883279194
492	0.4881677002
493	0.487936202
494	0.4877906579
495	0.4875120964
496	0.4873292254
497	0.4869530668
498	0.4866863955
499	0.4863379564
500	0.4861348066
501	0.4860007034
502	0.4857586441
503	0.4855358231
504	0.4852573001
505	0.4849991096
506	0.4846026119
507	0.4843574075
508	0.4841998284
509	0.4838538943
510	0.483392616
511	0.4831281976
512	0.482869451
513	0.4828467459
514	0.4825902933
515	0.4821786022
516	0.4817661811
517	0.4815282052
518	0.4811865368
519	0.4808010457
520	0.4806586518
521	0.4801213
522	0.4796802046
523	0.4795662764
524	0.479381478
525	0.4792440407
526	0.4789541084
527	0.4788154721
528	0.4786885854
529	0.4785796535
530	0.4784198981
531	0.4783010606
532	0.4780705215
533	0.4778088182
534	0.4774693002
535	0.477245863
536	0.4769509259
537	0.4767398304
538	0.4764940778
539	0.4763045548
540	0.4760661239
541	0.4757723455
542	0.475482502
543	0.4753255037
544	0.4751252387
545	0.4748344348
546	0.4745116688
547	0.474258802
548	0.4738831536
549	0.4735640666
550	0.4732841211
551	0.4730409531
552	0.4727533461
553	0.4726330125
554	0.4722199271
555	0.4720984435
556	0.4718886611
557	0.471755179
558	0.4714351406
559	0.471173856
560	0.4710477507
561	0.47081842
562	0.4706787293
563	0.4703509845
564	0.4700427139
565	0.4696657437
566	0.4695331067
567	0.4695260717
568	0.4692955061
569	0.4691427679
570	0.4689120746
571	0.4685762196
572	0.4681009415
573	0.467844983
574	0.4675719712
575	0.4673235109
576	0.467102106
577	0.4668871557
578	0.4665153013
579	0.4663177629
580	0.4661520797
581	0.4660650074
582	0.4658643032
583	0.4655338207
584	0.4652891741
585	0.4649835739
586	0.4648037237
587	0.4643209662
588	0.464050667
589	0.4637680405
590	0.463588779
591	0.4632436021
592	0.4629747731
593	0.4627603701
594	0.4627430952
595	0.4626035366
596	0.462319777
597	0.4621559667
598	0.4620405366
599	0.4616830822
